

Expanded question: ' What faction of Liberal Party Peter Dutton leads?'
Question: What faction of Liberal Party Peter Dutton leads?
9.070777893066406	Peter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.	<--Peter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.	N/A	Q_4597_0
-1.5364034175872803	When the far-left parties lost much electoral support in the 1986 elections, they decided to merge into the new GreenLeft (GroenLinks) in 1989, with considerable success.	<--When the far-left parties lost much electoral support in the 1986 elections, they decided to merge into the new GreenLeft (GroenLinks) in 1989, with considerable success.	wiki_785788_148	Q_4597_1
-1.5367600917816162	1989-1992.	<--1989-1992.	wiki_5059975_4	Q_4597_1
-1.5809799432754517	It also proved to be the Queensland Nationals' last hurrah; Bjelke-Petersen was forced into retirement a few months after the federal election, and his party was heavily defeated in 1989.	<--It also proved to be the Queensland Nationals' last hurrah; Bjelke-Petersen was forced into retirement a few months after the federal election, and his party was heavily defeated in 1989.	wiki_661476_81	Q_4597_1
-1.585705280303955	He ran again in the 1991 Urban Council election in Southern District but was again lost to incumbent Joseph Chan Yuet-sut of the conservative Liberal Democratic Federation of Hong Kong.	<--He ran again in the 1991 Urban Council election in Southern District but was again lost to incumbent Joseph Chan Yuet-sut of the conservative Liberal Democratic Federation of Hong Kong.	wiki_1998719_22	Q_4597_1
-1.5915756225585938	The fact that the Coalition Government came to office as a direct result of the 1996 Mundingburra by-election instead of the general election the previous year, as well as its failure to win in its own right at the 1998 election, meant that the 1998 election was the fourth consecutive election victory for the Queensland ALP, which had won every election since 1989.	<--The fact that the Coalition Government came to office as a direct result of the 1996 Mundingburra by-election instead of the general election the previous year, as well as its failure to win in its own right at the 1998 election, meant that the 1998 election was the fourth consecutive election victory for the Queensland ALP, which had won every election since 1989.	wiki_3625621_8	Q_4597_1
-1.6001152992248535	Labor, the Liberals and the Greens ran in all 47 seats, the Democrats ran in all but Giles which resulted in a contested seat vote of three percent, Family First ran in all but Ramsay and Croydon with a contested seat vote of 6.1 percent.	<--Labor, the Liberals and the Greens ran in all 47 seats, the Democrats ran in all but Giles which resulted in a contested seat vote of three percent, Family First ran in all but Ramsay and Croydon with a contested seat vote of 6.1 percent.	wiki_4659081_146	Q_4597_1
-1.6120750904083252	After initial counting was complete, the Coalition had won 43 seats, Labor had won 41 (including winning the seat of Geelong by just 16 votes) and independents had won three seats in the 88-seat Assembly.	<--After initial counting was complete, the Coalition had won 43 seats, Labor had won 41 (including winning the seat of Geelong by just 16 votes) and independents had won three seats in the 88-seat Assembly.	wiki_4879771_25	Q_4597_1
-1.745029330253601	Dignity for Disabled, No Rodeo and One Nation ran in 10, 7 and 6 six seats respectively.	<--Dignity for Disabled, No Rodeo and One Nation ran in 10, 7 and 6 six seats respectively.	wiki_4659081_148	Q_4597_1
-1.8243170976638794	The MSzMP had transformed into the Hungarian Socialist Party (MSzP) in October 1989 and Imre Pozsgay was considered a strong contender in direct presidential elections.	<--The MSzMP had transformed into the Hungarian Socialist Party (MSzP) in October 1989 and Imre Pozsgay was considered a strong contender in direct presidential elections.	wiki_2007622_27	Q_4597_1
-1.8647676706314087	Voter backlash at having to return to the polls for the second time in three months resulted in the election of independent member Lex Bell in the traditionally safe National seat.	<--Voter backlash at having to return to the polls for the second time in three months resulted in the election of independent member Lex Bell in the traditionally safe National seat.	wiki_670775_77	Q_4597_1
-1.916487693786621	The following year they also won McNamara's hitherto safe seat of Benalla in another by-election, which brought them to 44 of the Assembly's 88 seats.	<--The following year they also won McNamara's hitherto safe seat of Benalla in another by-election, which brought them to 44 of the Assembly's 88 seats.	wiki_4879771_42	Q_4597_1
-1.993568778038025	The Conservatives had been elected by a landslide in the 1987 general election under the leadership of Margaret Thatcher, but her popularity had sharply declined in 1989-90 due to the early 1990s recession, internal divisions in the party and the unpopular Community Charge.	<--The Conservatives had been elected by a landslide in the 1987 general election under the leadership of Margaret Thatcher, but her popularity had sharply declined in 1989-90 due to the early 1990s recession, internal divisions in the party and the unpopular Community Charge.	wiki_2041069_14	Q_4597_1
-2.064972400665283	The 2009 election also marked the eighth consecutive victory of the ALP in a general election since 1989 although it was out of office between 1996 and 1998 as a direct result of the 1996 Mundingburra by-election.	<--The 2009 election also marked the eighth consecutive victory of the ALP in a general election since 1989 although it was out of office between 1996 and 1998 as a direct result of the 1996 Mundingburra by-election.	wiki_2983616_3	Q_4597_1
-2.1408627033233643	The election was fought under new boundaries, with a net increase of eight seats compared to the 1992 election (651 to 659).	<--The election was fought under new boundaries, with a net increase of eight seats compared to the 1992 election (651 to 659).	wiki_3804794_76	Q_4597_1
-2.1412978172302246	In 1989, Inga Peulich joined the Moorabbin Branch of the Liberal Party and a year later was elected to the Moorabbin City Council.	<--In 1989, Inga Peulich joined the Moorabbin Branch of the Liberal Party and a year later was elected to the Moorabbin City Council.	wiki_3413177_10	Q_4597_1
-2.1860780715942383	With half of the seats up for election, Labor gained an additional seat at the expense of the Liberals, Nick Xenophon and No Pokies rose to prominence after unexpectedly winning a historic fifth of the entire statewide vote, the Greens won their first seat, Family First won their second seat to hold two seats, while the faltering Democrats failed to win a seat for the first time in their history.	<--With half of the seats up for election, Labor gained an additional seat at the expense of the Liberals, Nick Xenophon and No Pokies rose to prominence after unexpectedly winning a historic fifth of the entire statewide vote, the Greens won their first seat, Family First won their second seat to hold two seats, while the faltering Democrats failed to win a seat for the first time in their history.	wiki_4659081_3	Q_4597_1
-2.21260666847229	The Liberals came under the leadership of future Lieutenant Governor Lynda Haverstock in 1989.	<--The Liberals came under the leadership of future Lieutenant Governor Lynda Haverstock in 1989.	wiki_3108540_18	Q_4597_1
-2.2423667907714844	Before the election the Conservatives ran the council with 28 seats, while the Liberal Democrats had 21 seats and there were 4 independents.	<--Before the election the Conservatives ran the council with 28 seats, while the Liberal Democrats had 21 seats and there were 4 independents.	wiki_1464340_3	Q_4597_1
-2.252951145172119	In 1989 Rennard was appointed as Director of Campaigns and Elections for the Liberal Democrats.	<--In 1989 Rennard was appointed as Director of Campaigns and Elections for the Liberal Democrats.	wiki_2255403_14	Q_4597_1
-2.270963668823242	The Equality Party never repeated its electoral success of 1989.	<--The Equality Party never repeated its electoral success of 1989.	wiki_700682_30	Q_4597_1
-2.313692808151245	In the 2008 election, the Conservatives won the majority of seats in Ontario for the first time since 1988.	<--In the 2008 election, the Conservatives won the majority of seats in Ontario for the first time since 1988.	wiki_2116093_395	Q_4597_1
-2.335205554962158	He received the important portfolio of Tourism in 1989 and was briefly made Minister for Police, Emergency Services and Tourism by Ahern's successor Russell Cooper before he lost office at the hands of the Labor Party's Wayne Goss in the 1989 election.	<--He received the important portfolio of Tourism in 1989 and was briefly made Minister for Police, Emergency Services and Tourism by Ahern's successor Russell Cooper before he lost office at the hands of the Labor Party's Wayne Goss in the 1989 election.	wiki_670775_14	Q_4597_1
-2.3599753379821777	The Liberals were only able to take limited advantage of the collapse of Grant Devine's scandal-ridden Conservative government in the 1991 election, but Haverstock was able to win her Saskatoon seat.	<--The Liberals were only able to take limited advantage of the collapse of Grant Devine's scandal-ridden Conservative government in the 1991 election, but Haverstock was able to win her Saskatoon seat.	wiki_3108540_19	Q_4597_1
-2.4208250045776367	But running is Troy Aggett, the former One Nation candidate for the seat - who quit after falling out with the party and is now an independent - which will  further complicate preferences.	<--But running is Troy Aggett, the former One Nation candidate for the seat - who quit after falling out with the party and is now an independent - which will  further complicate preferences.	news_737852_15	Q_4597_1
-2.4243733882904053	1981Ã¢  1989:	<--1981Ã¢  1989:	wiki_1839119_88	Q_4597_1
-2.4285902976989746	It was speculated that Bjelke-Petersen would run for a federal seat in Queensland, with Wide Bay and Fairfax being singled out as possibilities.	<--It was speculated that Bjelke-Petersen would run for a federal seat in Queensland, with Wide Bay and Fairfax being singled out as possibilities.	wiki_689687_37	Q_4597_1
-2.4602560997009277	The Nationals ran in Chaffey, Flinders, Finniss, and MacKillop, averaging 24.8 percent in those seats.	<--The Nationals ran in Chaffey, Flinders, Finniss, and MacKillop, averaging 24.8 percent in those seats.	wiki_4659081_147	Q_4597_1
-2.5356557369232178	Although both polled poorly, it set a trend for a split far right vote which was replicated in the Vauxhall by-election, 1989 and elsewhere.	<--Although both polled poorly, it set a trend for a split far right vote which was replicated in the Vauxhall by-election, 1989 and elsewhere.	wiki_1612561_4	Q_4597_1
-2.548154592514038	In Quebec, the New Democratic Party of Quebec and the federal NDP agreed in 1989 to sever their structural ties after the Quebec party adopted the sovereigntist platform.	<--In Quebec, the New Democratic Party of Quebec and the federal NDP agreed in 1989 to sever their structural ties after the Quebec party adopted the sovereigntist platform.	wiki_1055013_185	Q_4597_1
-2.5589308738708496	The seats was held for the Liberal Democrats by John Morris with a majority of 349 votes over the Conservatives.	<--The seats was held for the Liberal Democrats by John Morris with a majority of 349 votes over the Conservatives.	wiki_1923469_24	Q_4597_1
-2.577094316482544	On June 19, 1989, Quebec chief electoral officer Pierre F. CÃ ´tÃ © withdrew the party's registration after the party was found to be nearly $350,000 in debt.	<--On June 19, 1989, Quebec chief electoral officer Pierre F. CÃ ´tÃ © withdrew the party's registration after the party was found to be nearly $350,000 in debt.	wiki_3313409_112	Q_4597_1
-2.599735975265503	On July 20, 1987, the NDP swept three by-elections in Newfoundland, Ontario, and the Yukon, picking up two formerly Conservative seats and holding one NDP seat.	<--On July 20, 1987, the NDP swept three by-elections in Newfoundland, Ontario, and the Yukon, picking up two formerly Conservative seats and holding one NDP seat.	wiki_1080817_27	Q_4597_1
-2.625760793685913	The Parliament had three chambers at the time; the candidates ran for all 80 seats in the Social-Political Council of Croatia, all 116 seats to the Municipalities Council of Croatia and all 160 seats to the Associated Labour Council of Croatia.	<--The Parliament had three chambers at the time; the candidates ran for all 80 seats in the Social-Political Council of Croatia, all 116 seats to the Municipalities Council of Croatia and all 160 seats to the Associated Labour Council of Croatia.	wiki_715662_68	Q_4597_1
-2.6366682052612305	The seat was retained by the National Party with the election of candidate Paul Clauson.	<--The seat was retained by the National Party with the election of candidate Paul Clauson.	wiki_3985358_2	Q_4597_1
-2.67292857170105	Free Democrats and Fidesz, on the other hand, wanted to prevent a directly elected, Socialist president at any rate and therefore called for a referendum, that was held in November 1989.	<--Free Democrats and Fidesz, on the other hand, wanted to prevent a directly elected, Socialist president at any rate and therefore called for a referendum, that was held in November 1989.	wiki_2007622_29	Q_4597_1
-2.6927478313446045	At the party's leadership convention in 1989, former B.C. Premier Dave Barrett and Yukon MP Audrey McLaughlin were the main contenders for the leadership.	<--At the party's leadership convention in 1989, former B.C. Premier Dave Barrett and Yukon MP Audrey McLaughlin were the main contenders for the leadership.	wiki_1055013_63	Q_4597_1
-2.696873188018799	WhitbyÃ¢  Oshawa was a targeted seat for the Conservatives, but MacNeil was nonetheless defeated by Liberal incumbent Judi Longfield.	<--WhitbyÃ¢  Oshawa was a targeted seat for the Conservatives, but MacNeil was nonetheless defeated by Liberal incumbent Judi Longfield.	wiki_986504_202	Q_4597_1
-2.717125654220581	The last seat to be declared on 25 July was the Townsville-based seat of Mundingburra, which Labor's Ken Davies won by just 16 votes in a three-candidate race against Liberal candidate Frank Tanti.	<--The last seat to be declared on 25 July was the Townsville-based seat of Mundingburra, which Labor's Ken Davies won by just 16 votes in a three-candidate race against Liberal candidate Frank Tanti.	wiki_7098_5	Q_4597_1
-2.752973794937134	Labor's wins included the previously marginal Liberal seats of Hartley, Light, Morialta, Mawson, Bright and Newland.	<--Labor's wins included the previously marginal Liberal seats of Hartley, Light, Morialta, Mawson, Bright and Newland.	wiki_4659081_142	Q_4597_1
-2.770228147506714	The seat was contested for the Liberals by Legislative Council member Angus Redford, who faced a tougher fight than expected.	<--The seat was contested for the Liberals by Legislative Council member Angus Redford, who faced a tougher fight than expected.	wiki_4659081_154	Q_4597_1

To be continued...

History: ['What faction of Liberal Party Peter Dutton leads?\nPeter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.']
Dependency Turn: 
Dependency Entity: Peter Dutton
Prev Dialog Mentions: [['Liberal Party', 'Peter Dutton', '"National Right"']]
Max Score: 2.5853858757019044
Mention-Question Weights: [0.3145754337310791, 0.37656259536743164, 0.21682770550251007]
Mention-Answer Weights: [0.28655657172203064, 0.2591046392917633, 0.09238060563802719]
Turn-Question Weights: [0.3167811334133148]
Turn-Answer Weights: [0.35445624589920044]
Max Vars Mention Choice: None
Max Vars Turn Choice: None
Prev Dialog Mention Context: [[['Liberal Party', 'What faction of Liberal Party Peter Dutton leads?\nPeter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.'], ['Peter Dutton', 'Peter Dutton (born 18 November 1970), Australian politician, has been a Liberal member of the Australian House of Representatives representing the Division of Dickson, Queensland since the November 2001 federal election when he defeated high-profile sitting Labor member Cheryl Kernot. Dutton was the Minister for Health and the Minister for Sport from 18 September 2013 and Minister for Immigration and Border Protection from 21 December 2014 in the Abbott Government. Dutton retained his portfolio in the Turnbull Government. On 18 July 2017, he was named Minister for Home Affairs, a newly created portfolio giving him oversight of ASIO, the AFP and Border Force. He previously served as the Minister for Workforce Participation and Minister for Revenue and Assistant Treasurer in the Howard Government. Dutton has been touted as a future Liberal leader.'], ['"National Right"', 'What faction of Liberal Party Peter Dutton leads?\nPeter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.']]]
Prev Dialog Turn Mention Types: [[{'organization', 'party', 'government'}, {'official', 'leader', 'politician', 'person', 'president'}, {'organization', 'party', 'group', 'government'}]]
Max Answer Entities: ['Lytton', 'Labor', 'Liberal', 'Brisbane', 'Tom Burns']


2.5853858757019044	None	6.1556806564331055	In 1989 he ran unsuccessfully as the Liberal candidate against Labor MP Tom Burns in the eastern Brisbane state seat of Lytton.	<--In 1989 he ran unsuccessfully as the Liberal candidate against Labor MP Tom Burns in the eastern Brisbane state seat of Lytton.	wiki_2165556_11	Q_4597_1
Mention to question weight: [0.3145754337310791, 0.37656259536743164, 0.21682770550251007]
Mention to answer weight: [0.28655657172203064, 0.2591046392917633, 0.09238060563802719]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.35445624589920044]
Mention choice: None
Turn choice: None
Answer mentions: ['Lytton', 'Labor', 'Liberal', 'Brisbane', 'Tom Burns']
Answer mention types: None
---
2.513778762817383	None	5.985187530517578	In 1989 Dutton unsuccessfully ran in the Queensland state election against the popular Labor MP Tom Burns in the east Brisbane seat of Lytton.	<--In 1989 Dutton unsuccessfully ran in the Queensland state election against the popular Labor MP Tom Burns in the east Brisbane seat of Lytton.	wiki_2165556_117	Q_4597_1
Mention to question weight: [0.3145754337310791, 0.37656259536743164, 0.21682770550251007]
Mention to answer weight: [0.21155881881713867, 0.5235418081283569, 0.11848378926515579]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.4706428050994873]
Mention choice: None
Turn choice: None
Answer mentions: ['Peter Dutton', 'Tom Burns', 'Queensland', 'Lytton', 'Labor', 'Brisbane']
Answer mention types: None
---
2.4095323848724366	None	5.7369818687438965	At the 1989 Queensland state election, the 19-year-old Peter Dutton ran unsuccessfully as the Liberal candidate against Tom Burns, a former state Labor leader, in the safe Labor seat of Lytton.	<--At the 1989 Queensland state election, the 19-year-old Peter Dutton ran unsuccessfully as the Liberal candidate against Tom Burns, a former state Labor leader, in the safe Labor seat of Lytton.	N/A	Q_4597_1
Mention to question weight: [0.31457534432411194, 0.3765624761581421, 0.2168276160955429]
Mention to answer weight: [0.28003808856010437, 0.5839704275131226, 0.129049614071846]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.5865612030029297]
Mention choice: None
Turn choice: None
Answer mentions: ['Lytton', 'Liberal', 'Queensland', 'Tom Burns', 'Labor', 'Peter Dutton']
Answer mention types: None
---
1.8622101116180418	None	4.433833599090576	Dionne easily held her seat in the 1989 Quebec general election winning well over half the popular vote.	<--Dionne easily held her seat in the 1989 Quebec general election winning well over half the popular vote.	wiki_5176333_5	Q_4597_1
Mention to question weight: [0.3145754337310791, 0.37656259536743164, 0.21682770550251007]
Mention to answer weight: [0.20428338646888733, 0.1486004739999771, 0.11025470495223999]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.17934000492095947]
Mention choice: None
Turn choice: None
Answer mentions: ['Quebec Liberal Party']
Answer mention types: None
---
0.910469069480896	None	2.167783498764038	A month after becoming Premier Rideout's Progressive Conservative Party was defeated in the 1989 election by the Liberal Party under Clyde Wells, though the Tory's won a higher percentage of votes the Liberals won a majority of the seats in the House of Assembly.	<--A month after becoming Premier Rideout's Progressive Conservative Party was defeated in the 1989 election by the Liberal Party under Clyde Wells, though the Tory's won a higher percentage of votes the Liberals won a majority of the seats in the House of Assembly.	wiki_1356367_61	Q_4597_1
Mention to question weight: [0.3145754039287567, 0.37656253576278687, 0.2168276458978653]
Mention to answer weight: [0.5043414831161499, 0.23266185820102692, 0.12551844120025635]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.34977662563323975]
Mention choice: None
Turn choice: None
Answer mentions: ['Progressive Conservative Party', 'Liberal Party', 'Politics of Newfoundland and Labrador', 'Rideout', 'Tory', 'Clyde Wells', 'Liberals']
Answer mention types: None
---
0.2498200535774231	None	0.5948096513748169	Seeking a second term as the member for South Coast, Judy Gamin was defeated at the 1989 state election by Bob Quinn who was once again standing as the Liberal Party candidate.	<--Seeking a second term as the member for South Coast, Judy Gamin was defeated at the 1989 state election by Bob Quinn who was once again standing as the Liberal Party candidate.	wiki_3980399_19	Q_4597_1
Mention to question weight: [0.31457534432411194, 0.3765624761581421, 0.2168276160955429]
Mention to answer weight: [0.3868120014667511, 0.18772706389427185, 0.1210518330335617]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.2654781937599182]
Mention choice: None
Turn choice: None
Answer mentions: ['South Coast state by-election, 1988', 'Bob Quinn', 'Judy Gamin', 'Liberal Party']
Answer mention types: None
---
-0.015442721396684646	None	-0.03676838427782059	The other outer suburbs district that fell to Labor was Bright, which had been held since 1989 by former Liberal energy minister Wayne Matthew, who decided to retire at this election.	<--The other outer suburbs district that fell to Labor was Bright, which had been held since 1989 by former Liberal energy minister Wayne Matthew, who decided to retire at this election.	wiki_4659081_153	Q_4597_1
Mention to question weight: [0.31457534432411194, 0.3765624761581421, 0.2168276160955429]
Mention to answer weight: [0.21257874369621277, 0.1892590969800949, -0.0040884860791265965]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.3685179352760315]
Mention choice: None
Turn choice: None
Answer mentions: ['Labor', 'Liberal', 'Wayne Matthew']
Answer mention types: None
---
-0.2893815565109253	None	-0.6890037059783936	Adams ran for the seat again in the 1987 provincial election, and won by a comfortable majority amid a landslide provincial victory for the Liberal Party.	<--Adams ran for the seat again in the 1987 provincial election, and won by a comfortable majority amid a landslide provincial victory for the Liberal Party.	wiki_3182592_12	Q_4597_1
Mention to question weight: [0.31457531452178955, 0.37656259536743164, 0.21682770550251007]
Mention to answer weight: [0.39454954862594604, 0.18219435214996338, 0.08440562337636948]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.27140089869499207]
Mention choice: None
Turn choice: None
Answer mentions: ['Liberal Party']
Answer mention types: None
---
-0.8993450832366943	None	-2.1412978172302246	In 1989, Inga Peulich joined the Moorabbin Branch of the Liberal Party and a year later was elected to the Moorabbin City Council.	<--In 1989, Inga Peulich joined the Moorabbin Branch of the Liberal Party and a year later was elected to the Moorabbin City Council.	wiki_3413177_10	Q_4597_1
Mention to question weight: [0.31457534432411194, 0.3765624761581421, 0.21682758629322052]
Mention to answer weight: [0.48624590039253235, 0.27907800674438477, 0.17687740921974182]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.30825337767601013]
Mention choice: None
Turn choice: None
Answer mentions: ['Moorabbin Branch', 'Liberal Party', 'City of Moorabbin', 'Inga Peulich']
Answer mention types: None
---
-1.141192774772644	None	-2.717125654220581	The last seat to be declared on 25 July was the Townsville-based seat of Mundingburra, which Labor's Ken Davies won by just 16 votes in a three-candidate race against Liberal candidate Frank Tanti.	<--The last seat to be declared on 25 July was the Townsville-based seat of Mundingburra, which Labor's Ken Davies won by just 16 votes in a three-candidate race against Liberal candidate Frank Tanti.	wiki_7098_5	Q_4597_1
Mention to question weight: [0.31457534432411194, 0.3765624761581421, 0.2168276160955429]
Mention to answer weight: [0.18907807767391205, 0.2620602548122406, 0.09234850853681564]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.3565985858440399]
Mention choice: None
Turn choice: None
Answer mentions: ['Ken Davies', 'Frank Tanti', 'Liberal', 'Mundingburra state by-election, 1996', 'Labor Party', 'Townsville']
Answer mention types: None
---
-1.1562489938735963	None	-2.752973794937134	Labor's wins included the previously marginal Liberal seats of Hartley, Light, Morialta, Mawson, Bright and Newland.	<--Labor's wins included the previously marginal Liberal seats of Hartley, Light, Morialta, Mawson, Bright and Newland.	wiki_4659081_142	Q_4597_1
Mention to question weight: [0.3145754337310791, 0.37656259536743164, 0.21682770550251007]
Mention to answer weight: [0.32922956347465515, 0.16803821921348572, 0.06639834493398666]
Turn to question weight: [0.3167811334133148]
Turn to answer weight: [0.33334770798683167]
Mention choice: None
Turn choice: None
Answer mentions: ['Newland', 'Mawson', 'Labor', 'Light', 'Liberal', 'Bright', 'Hartley', 'Morialta']
Answer mention types: None
---
+++++


Expanded question: 'Tom Burns Liberal Lytton Liberal Party Queensland Peter Dutton Peter Labor "National Right" What Tom was elected as in 1984?'
Question: What Tom was elected as in 1984?
7.527955055236816	In 1984, Tom Burns was elected as Deputy Leader of the ALP with Nev Warburton as Leader.	<--In 1984, Tom Burns was elected as Deputy Leader of the ALP with Nev Warburton as Leader.	N/A	Q_4597_2
2.769151210784912	Later he was active in the Grey Power movement, and stood again for the Senate as a Grey Power candidate at the 1984 election; again, he did badly.	<--Later he was active in the Grey Power movement, and stood again for the Senate as a Grey Power candidate at the 1984 election; again, he did badly.	wiki_3500954_45	Q_4597_2
2.4753615856170654	From 1977 to 1984 he was elected as a Labor Councillor on the Sydney City Council, He also served as Deputy Mayor and a brief time as Acting Lord Mayor (in 1983).	<--From 1977 to 1984 he was elected as a Labor Councillor on the Sydney City Council, He also served as Deputy Mayor and a brief time as Acting Lord Mayor (in 1983).	wiki_4386550_6	Q_4597_2
1.9040743112564087	The election was held on 1 December 1984.	<--The election was held on 1 December 1984.	wiki_1254099_1	Q_4597_2
1.6919573545455933	At the 1984 election he was given little chance of winning, but he performed better than expected by reducing Hawke's majority.	<--At the 1984 election he was given little chance of winning, but he performed better than expected by reducing Hawke's majority.	wiki_4489537_33	Q_4597_2
1.3120359182357788	In 1984, Burns was elected as Deputy Leader of the ALP with Nev Warburton as Leader.	<--In 1984, Burns was elected as Deputy Leader of the ALP with Nev Warburton as Leader.	wiki_5355731_19	Q_4597_2
0.7944614887237549	During the 1984 election he created a controversy by blaming the appearance of AIDS on what he claimed was the Hawke Labor government's policy of "condoning" homosexuality.	<--During the 1984 election he created a controversy by blaming the appearance of AIDS on what he claimed was the Hawke Labor government's policy of "condoning" homosexuality.	wiki_707449_25	Q_4597_2
0.317050576210022	She unsuccessfully contested the seat of East Melville at the 1983 election against sitting Liberal Party member Anthony Trethowan, but was more successful in 1986 when she won the seat of Subiaco following the retirement of long-serving Liberal-turned-independent Dr Tom Dadour.	<--She unsuccessfully contested the seat of East Melville at the 1983 election against sitting Liberal Party member Anthony Trethowan, but was more successful in 1986 when she won the seat of Subiaco following the retirement of long-serving Liberal-turned-independent Dr Tom Dadour.	wiki_3181587_22	Q_4597_2
0.0756388008594513	Warburton was elected by caucus as the new Labor leader in Queensland on 29 August 1984.	<--Warburton was elected by caucus as the new Labor leader in Queensland on 29 August 1984.	wiki_5415109_9	Q_4597_2
-0.3690332770347595	He was a minister in the Gorton, McMahon and Fraser governments and federal leader of the Liberal Party of Australia and Leader of the Opposition (1983Ã¢  1985 and 1989Ã¢  1990), leading the Coalition opposition to defeat at the 1984 election and the 1990 election.	<--He was a minister in the Gorton, McMahon and Fraser governments and federal leader of the Liberal Party of Australia and Leader of the Opposition (1983Ã¢  1985 and 1989Ã¢  1990), leading the Coalition opposition to defeat at the 1984 election and the 1990 election.	wiki_4489537_1	Q_4597_2
-0.4422825276851654	In 1984, Kernot was elected Queensland Secretary of the Australian Democrats, and later in the year, Queensland State President, a position she held until 1999.	<--In 1984, Kernot was elected Queensland Secretary of the Australian Democrats, and later in the year, Queensland State President, a position she held until 1999.	wiki_5079860_9	Q_4597_2
-0.5227040648460388	In September 1985, Andrew Peacock, who had led the party to a surprising rebound in the 1984 general election, was replaced as leader of the Liberal party by the then Deputy Leader and Shadow Treasurer John Howard, after a botched effort to remove the latter from the Deputy Leadership and replace him with Queenslander John Moore, resulting in Peacock's resignation.	<--In September 1985, Andrew Peacock, who had led the party to a surprising rebound in the 1984 general election, was replaced as leader of the Liberal party by the then Deputy Leader and Shadow Treasurer John Howard, after a botched effort to remove the latter from the Deputy Leadership and replace him with Queenslander John Moore, resulting in Peacock's resignation.	wiki_4748442_9	Q_4597_2
-0.7845836877822876	In 1984, Wright resigned from the Legislative Assembly to stand for election to federal parliament.	<--In 1984, Wright resigned from the Legislative Assembly to stand for election to federal parliament.	wiki_5415109_8	Q_4597_2
-0.8604257702827454	Arblaster was elected to the New South Wales Legislative Assembly for the Electoral district of Mosman in 1972 and served until his retirement in 1984.	<--Arblaster was elected to the New South Wales Legislative Assembly for the Electoral district of Mosman in 1972 and served until his retirement in 1984.	wiki_2538963_1	Q_4597_2
-0.921071469783783	Thomas Lancelot "Tom" Lewis (23 January 1922 Ã¢   25 April 2016) was a New South Wales politician, Premier of New South Wales and minister in the cabinets of Sir Robert Askin and Sir Eric Willis.	<--Thomas Lancelot "Tom" Lewis (23 January 1922 Ã¢   25 April 2016) was a New South Wales politician, Premier of New South Wales and minister in the cabinets of Sir Robert Askin and Sir Eric Willis.	wiki_373618_0	Q_4597_2
-1.0853997468948364	This article provides information on candidates who stood for the 1984 Australian federal election.	<--This article provides information on candidates who stood for the 1984 Australian federal election.	wiki_1254099_0	Q_4597_2
-1.1204771995544434	He won preselection to contest the Northern Territory seat in the House of Representatives for the 1983 federal election, and was elected amidst the election of the Hawke government.	<--He won preselection to contest the Northern Territory seat in the House of Representatives for the 1983 federal election, and was elected amidst the election of the Hawke government.	wiki_4214782_6	Q_4597_2
-1.156591773033142	The Green movement gained its first federal parliamentary representative when Senator Jo Vallentine of Western Australia, who had been elected in 1984 for the Nuclear Disarmament Party and later sat as an independent, was part of the formation of and joined The Greens (WA), a party formed in Western Australia, and not affiliated to the Australian Greens at that time.	<--The Green movement gained its first federal parliamentary representative when Senator Jo Vallentine of Western Australia, who had been elected in 1984 for the Nuclear Disarmament Party and later sat as an independent, was part of the formation of and joined The Greens (WA), a party formed in Western Australia, and not affiliated to the Australian Greens at that time.	wiki_3812107_64	Q_4597_2
-1.3046430349349976	Webster was re-elected at the 1981 election but was defeated in 1984 by Liberal candidate John Booth.	<--Webster was re-elected at the 1981 election but was defeated in 1984 by Liberal candidate John Booth.	wiki_4737589_12	Q_4597_2
-1.3185759782791138	He served as Secretary to the Treasury between 1979 and 1984, and as a Senator for Queensland representing the National Party from 1987 to 1990.	<--He served as Secretary to the Treasury between 1979 and 1984, and as a Senator for Queensland representing the National Party from 1987 to 1990.	wiki_4635087_1	Q_4597_2
-1.3392797708511353	After failing to gain victory as ALP candidate for the 1981 Wentworth by-election (which was won by the Liberals' candidate Peter Coleman, former Leader of the NSW Opposition), Tickner was successful in entering the federal parliament at the 1984 Hughes by-election.	<--After failing to gain victory as ALP candidate for the 1981 Wentworth by-election (which was won by the Liberals' candidate Peter Coleman, former Leader of the NSW Opposition), Tickner was successful in entering the federal parliament at the 1984 Hughes by-election.	wiki_4386550_7	Q_4597_2
