

Expanded question: ' What position Steve Bullock had worked in 1996?'
Question: What position Steve Bullock had worked in 1996?
8.243512153625488	In 1996, Steve Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	<--In 1996, Steve Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	N/A	Q_6437_0
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.30506256222724915, 0.32002267241477966]
Mention choice: None
Turn choice: None
Answer mentions: ['American', 'House of Representatives', 'United States', 'Montana', 'John Melcher', 'Democratic Party', 'United States']
Answer mention types: None
---
0.027775043249130247	None	0.06613105535507202	Role in Montana's educational system.	<--Role in Montana's educational system.	wiki_2316269_21	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.168282613158226, 0.2821781039237976, 0.28015318512916565, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.21360166370868683, 0.5726392865180969, 0.21197828650474548, 0.26317477226257324, 0.11552082002162933, 0.1569974571466446, 0.1458161175251007, 0.4440263509750366]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3052544593811035, 0.14189870655536652]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana State University']
Answer mention types: None
---
0.002172741573303938	None	0.005173194222152233	He was acting assistant adjutant-general District of Montana, and acting regimental adjutant July, August, and September, 1874; in command of company, Judith Basin County, Montana, June to October, 1875.	<--He was acting assistant adjutant-general District of Montana, and acting regimental adjutant July, August, and September, 1874; in command of company, Judith Basin County, Montana, June to October, 1875.	wiki_3371361_24	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.21535341441631317, 0.37871652841567993, 0.2373352348804474, 0.11111351102590561, 0.49653691053390503, 0.18546254932880402, 0.2642507553100586, 0.4529914855957031]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3433205783367157, 0.24991275370121002]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana', 'United States District Court for the District of Montana', 'Judith Basin County']
Answer mention types: None
---
-0.019059567153453826	None	-0.04537992179393768	Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	<--Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	news_1000127_28	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.27170974016189575, 0.270794153213501, 0.22834134101867676, 0.06039333716034889, 0.12207648903131485, 0.17420606315135956, 0.221868097782135, 0.2555026113986969]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3305729627609253, 0.26377782225608826]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana', 'U.S. Navy', 'Ryan Zinke', 'Navy']
Answer mention types: None
---
-0.019059567153453826	None	-0.04537992179393768	Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	<--Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	news_1025600_28	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.27170974016189575, 0.270794153213501, 0.22834134101867676, 0.06039333716034889, 0.12207648903131485, 0.17420606315135956, 0.221868097782135, 0.2555026113986969]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3305729627609253, 0.26377782225608826]
Mention choice: None
Turn choice: None
Answer mentions: ['Navy', 'U.S. Navy', 'Montana', 'Ryan Zinke']
Answer mention types: None
---
-0.019059567153453826	None	-0.04537992179393768	Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	<--Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	news_1208396_28	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.27170974016189575, 0.270794153213501, 0.22834134101867676, 0.06039333716034889, 0.12207648903131485, 0.17420606315135956, 0.221868097782135, 0.2555026113986969]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3305729627609253, 0.26377782225608826]
Mention choice: None
Turn choice: None
Answer mentions: ['Ryan Zinke', 'U.S. Navy', 'Navy', 'Montana']
Answer mention types: None
---
-0.019059567153453826	None	-0.04537992179393768	Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	<--Assumed office: March 1, 2017 Age: 56 Prior job: Montana congressman Fun fact: Zinke served in the U.S. Navy from 1985 to 2008 and led Navy SEAL operations worldwide.	news_1040794_30	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.27170974016189575, 0.270794153213501, 0.22834134101867676, 0.06039333716034889, 0.12207648903131485, 0.17420606315135956, 0.221868097782135, 0.2555026113986969]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3305729627609253, 0.26377782225608826]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana', 'Navy', 'Ryan Zinke', 'U.S. Navy']
Answer mention types: None
---
-0.04177566513419151	None	-0.09946586936712265	John Sinrud, a former Bozeman lawmaker who worked with ATP in 2008, accused Unsworth of using a double standard, saying ATP's behavior was legal and that several union and conservation groups heavily involved in Montana politics used similar tactics.	<--John Sinrud, a former Bozeman lawmaker who worked with ATP in 2008, accused Unsworth of using a double standard, saying ATP's behavior was legal and that several union and conservation groups heavily involved in Montana politics used similar tactics.	wiki_1466906_37	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826578617096, 0.2821781635284424, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.2155262529850006, 0.14948855340480804, 0.2341911643743515, 0.06130195036530495, 0.12012049555778503, 0.21734054386615753, 0.22270217537879944, 0.1292245239019394]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.27505478262901306, 0.15948589146137238]
Mention choice: None
Turn choice: None
Answer mentions: ['John Sinrud', 'American Tradition Partnership', 'American Tradition Partnership', 'Bozeman', 'Montana']
Answer mention types: None
---
-0.04290838569402695	None	-0.10216282308101654	As a business-savvy communicator, John Montana informed city riders that while he now owned the second largest cab company in the state, he would keep fares the same as they were with the Yellow Cab Company ̢   50 cents for the first mile and 10 cents for the next three miles.	<--As a business-savvy communicator, John Montana informed city riders that while he now owned the second largest cab company in the state, he would keep fares the same as they were with the Yellow Cab Company ̢   50 cents for the first mile and 10 cents for the next three miles.	wiki_5346313_38	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.389606237411499, 0.3315429985523224, 0.1682826578617096, 0.2821781635284424, 0.28015315532684326, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.1626899391412735, 0.1931634247303009, 0.17122864723205566, 0.0954170972108841, 0.07489180564880371, 0.12781906127929688, 0.17223742604255676, 0.130700021982193]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.2495337277650833, 0.1879877746105194]
Mention choice: None
Turn choice: None
Answer mentions: ['John C. Montana', 'Yellow Cab Company ̢   50 cents']
Answer mention types: None
---
-0.046359497308731075	None	-0.11037975549697876	He previously served in the Montana House of Representatives (1977̢  1981), as the Secretary of State of Montana (1989̢  2001), in the Montana Senate (2003̢  2011), as the President of the Montana Senate (2007̢  2009) and ran unsuccessfully for Governor of Montana in 2000.	<--He previously served in the Montana House of Representatives (1977̢  1981), as the Secretary of State of Montana (1989̢  2001), in the Montana Senate (2003̢  2011), as the President of the Montana Senate (2007̢  2009) and ran unsuccessfully for Governor of Montana in 2000.	wiki_5249607_1	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.389606237411499, 0.3315430283546448, 0.16828258335590363, 0.2821780741214752, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.2981224060058594, 0.35338154435157776, 0.2871764302253723, 0.1975279599428177, 0.10789033025503159, 0.19285014271736145, 0.2636979818344116, 0.22516097128391266]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.5559504628181458, 0.36961808800697327]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana Senate', 'Montana House of Representatives', 'Montana Senate', 'Montana Historical Society', 'State', 'Montana Historical Society']
Answer mention types: None
---
-0.06376720547676086	None	-0.1518266797065735	By 1990, he was working on a biography of James J. Hill, the late 19th and early 20th century railroad executive whose Great Northern Railway played a critical role in the economic expansion of Montana.	<--By 1990, he was working on a biography of James J. Hill, the late 19th and early 20th century railroad executive whose Great Northern Railway played a critical role in the economic expansion of Montana.	wiki_2341155_38	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.25056400895118713, 0.2737254798412323, 0.26498037576675415, 0.043495044112205505, 0.13031212985515594, 0.21709392964839935, 0.2913852035999298, 0.20762285590171814]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.2955044209957123, 0.15868623554706573]
Mention choice: None
Turn choice: None
Answer mentions: ['James J. Hill', 'Montana State University', 'Great Northern Railway']
Answer mention types: None
---
-0.07671409517526627	None	-0.18265260756015778	After that, he became a special prosecutor for Montana statewide in 1977, and served in that position until 1988.	<--After that, he became a special prosecutor for Montana statewide in 1977, and served in that position until 1988.	wiki_707548_25	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.1745763123035431, 0.2961786389350891, 0.21895690262317657, 0.0655350610613823, 0.02719147875905037, 0.17840218544006348, 0.16392949223518372, 0.16974711418151855]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.4941321909427643, 0.244341179728508]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana']
Answer mention types: None
---
-0.07743255078792571	None	-0.1843632161617279	In time, Don Stefano Magaddino would become the boss of the Mafia in Buffalo and organize an empire with John Montana at the top.	<--In time, Don Stefano Magaddino would become the boss of the Mafia in Buffalo and organize an empire with John Montana at the top.	wiki_5346313_13	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.17788982391357422, 0.21926571428775787, 0.2303551733493805, 0.05194205790758133, 0.10230419784784317, 0.19557654857635498, 0.23712080717086792, 0.13990236818790436]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.24081777036190033, 0.14381320774555206]
Mention choice: None
Turn choice: None
Answer mentions: ['John C. Montana', 'Don Stefano Magaddino', 'Mafia', 'Buffalo']
Answer mention types: None
---
-0.0950714099407196	None	-0.2263604998588562	Carter's first foray into public office in Montana was in the role of public administrator for Lewis and Clark County.	<--Carter's first foray into public office in Montana was in the role of public administrator for Lewis and Clark County.	wiki_4737377_23	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.2238500714302063, 0.38579249382019043, 0.24958613514900208, 0.1247800886631012, 0.04235898330807686, 0.14074240624904633, 0.17325566709041595, 0.21088767051696777]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.38020339608192444, 0.2219618260860443]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana', 'Lewis', 'Clark County', 'Thomas H. Carter']
Answer mention types: None
---
-0.11598508536815642	None	-0.2761549651622772	Democrat John Walsh, the Lieutenant Governor of Montana, who was already running for Baucus' seat when Baucus was named to the ambassadorship, was appointed to replace Baucus by Governor Steve Bullock.	<--Democrat John Walsh, the Lieutenant Governor of Montana, who was already running for Baucus' seat when Baucus was named to the ambassadorship, was appointed to replace Baucus by Governor Steve Bullock.	wiki_1175885_2	Q_6437_2
Mention to question weight: [0.31985369324684143, 0.38960620760917664, 0.3315430283546448, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.23699384927749634, 0.2613055408000946, 0.42339301109313965, 0.07410471141338348, 0.1825966089963913, 0.37951335310935974, 0.4321973919868469, 0.12261486798524857]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.49604278802871704, 0.4726610481739044]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana', 'Steve Bullock', 'Max Baucus', 'John Walsh', 'Max Baucus', 'Democrat']
Answer mention types: None
---
-0.11864605665206909	None	-0.282490611076355	Assuming that the Bengals would expect him to throw the ball near the sidelines (to enable the receivers to step out of bounds to immediately stop the clock), Montana first threw a pair of completions in the middle of the field, one to Craig and one to tight end John Frank.	<--Assuming that the Bengals would expect him to throw the ball near the sidelines (to enable the receivers to step out of bounds to immediately stop the clock), Montana first threw a pair of completions in the middle of the field, one to Craig and one to tight end John Frank.	wiki_3802928_183	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826578617096, 0.2821781635284424, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.05128510668873787, 0.2910928428173065, 0.12375697493553162, 0.0017559429397806525, -0.0831492468714714, 0.11328642815351486, 0.06750711798667908, 0.09919516742229462]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.24566471576690674, 0.1701497584581375]
Mention choice: None
Turn choice: None
Answer mentions: ['John Frank', 'Cincinnati Bengals', 'Montana', 'Craig']
Answer mention types: None
---
-0.1186460816860199	None	-0.28249067068099976	Assuming that the Bengals would expect him to throw the ball near the sidelines (to enable the receivers to step out of bounds to immediately stop the clock), Montana first threw a pair of completions in the middle of the field, one to Craig and one to tight end John Frank.	<--Assuming that the Bengals would expect him to throw the ball near the sidelines (to enable the receivers to step out of bounds to immediately stop the clock), Montana first threw a pair of completions in the middle of the field, one to Craig and one to tight end John Frank.	wiki_5235490_125	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826578617096, 0.2821781635284424, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.05128510668873787, 0.2910928428173065, 0.12375697493553162, 0.0017559429397806525, -0.0831492468714714, 0.11328642815351486, 0.06750711798667908, 0.09919516742229462]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.24566471576690674, 0.1701497584581375]
Mention choice: None
Turn choice: None
Answer mentions: ['1988 Cincinnati Bengals season', 'Craig', 'Montana', 'John Frank']
Answer mention types: None
---
-0.12617653191089628	None	-0.3004203140735626	John D. Ryan was named ninth in a listing of the 100 most important people in Montana of the 20th century.	<--John D. Ryan was named ninth in a listing of the 100 most important people in Montana of the 20th century.	wiki_4014988_41	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.24027948081493378, 0.3410569727420807, 0.22341585159301758, 0.09358541667461395, 0.08208659291267395, 0.20047593116760254, 0.3198201060295105, 0.2472240924835205]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.21531403064727783, 0.24597562849521637]
Mention choice: None
Turn choice: None
Answer mentions: ['John D. Ryan', 'Montana Power Company']
Answer mention types: None
---
-0.14753523588180542	None	-0.35127437114715576	John Montana initially told the News that he had car trouble and stumbled upon a party. ̢	<--John Montana initially told the News that he had car trouble and stumbled upon a party. ̢	wiki_5346313_224	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.23621666431427002, 0.28588950634002686, 0.23190511763095856, 0.08796171098947525, -0.0034835031256079674, 0.19677677750587463, 0.2516849637031555, 0.18868480622768402]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.270385205745697, 0.25234153866767883]
Mention choice: None
Turn choice: None
Answer mentions: ['John C. Montana']
Answer mention types: None
---
-0.1498829573392868	None	-0.35686418414115906	He served as Assistant U.S. Attorney for Montana from 1908 to 1914 and served as the Attorney General of Montana from 1917 to 1921.	<--He served as Assistant U.S. Attorney for Montana from 1908 to 1914 and served as the Attorney General of Montana from 1917 to 1921.	wiki_2520272_8	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.1987767517566681, 0.3522341251373291, 0.2483430653810501, 0.09617676585912704, 0.26235073804855347, 0.2063547521829605, 0.1873234212398529, 0.2771790027618408]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.5058717727661133, 0.24377168715000153]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana', 'Montana', 'U.S.']
Answer mention types: None
---
-0.16004473865032195	None	-0.3810589015483856	His brother Davis would play a prominent role in Lester's later career as a businessman in Montana.	<--His brother Davis would play a prominent role in Lester's later career as a businessman in Montana.	wiki_1468122_6	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.12575030326843262, 0.2938494086265564, 0.2808949649333954, 0.023869996890425682, 0.09417843073606491, 0.2614125609397888, 0.1394503265619278, 0.18579190969467163]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.2873755693435669, 0.2322661280632019]
Mention choice: None
Turn choice: None
Answer mentions: ['Davis', 'Lester S. Willson', 'Montana']
Answer mention types: None
---
-0.1738223612308502	None	-0.41386276483535767	He serves as Chairman of the Montana Tax Appeal Board.	<--He serves as Chairman of the Montana Tax Appeal Board.	wiki_5222161_1	Q_6437_2
Mention to question weight: [0.31985369324684143, 0.38960620760917664, 0.33154296875, 0.16828259825706482, 0.2821781635284424, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.3057658076286316, 0.3037158250808716, 0.3355165123939514, 0.11295976489782333, 0.21453268826007843, 0.29698893427848816, 0.27634456753730774, 0.26093584299087524]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.49460989236831665, 0.262922078371048]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana Tax Appeal Board']
Answer mention types: None
---
-0.1787282770872116	None	-0.42554351687431335	When many people opposed because Harter lived outside the 41st District ̢   outside of the City of Buffalo all together ̢   John Montana used it as his blessing to create a splinter in the Erie County Republican Party and lead a dissident faction that supported his candidacy as a representative to the U.S. House.	<--When many people opposed because Harter lived outside the 41st District ̢   outside of the City of Buffalo all together ̢   John Montana used it as his blessing to create a splinter in the Erie County Republican Party and lead a dissident faction that supported his candidacy as a representative to the U.S. House.	wiki_5346313_119	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.389606237411499, 0.3315430283546448, 0.16828258335590363, 0.2821780741214752, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.2738897502422333, 0.34229397773742676, 0.15675000846385956, 0.1000501811504364, -0.002019567647948861, 0.11406204849481583, 0.26337680220603943, 0.13641420006752014]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.2604137063026428, 0.2637794017791748]
Mention choice: None
Turn choice: None
Answer mentions: ['Harter', 'Erie County Republican Party', 'John C. Montana', 'U.S. House', 'District ̢', 'City of Buffalo']
Answer mention types: None
---
-0.20532390832901	None	-0.4888664484024048	He served as counsel for the Montana Highway Commission from 1929 to 1936, and as attorney for the Railroad and Public Service Commission from 1936 to 1940.	<--He served as counsel for the Montana Highway Commission from 1929 to 1936, and as attorney for the Railroad and Public Service Commission from 1936 to 1940.	wiki_2520253_6	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.21194934844970703, 0.2535270154476166, 0.23298145830631256, 0.11299873143434525, 0.17100051045417786, 0.16620920598506927, 0.1437484174966812, 0.28720778226852417]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.4600072205066681, 0.25595220923423767]
Mention choice: None
Turn choice: None
Answer mentions: ['Railroad and Public Service Commission', 'Montana Department of Transportation']
Answer mention types: None
---
-0.21203330755233765	None	-0.5048412084579468	He was appointed by his successor to serve as the Montana National Guard's land component commander, and he served in this position until retiring from the National Guard in December 2012.	<--He was appointed by his successor to serve as the Montana National Guard's land component commander, and he served in this position until retiring from the National Guard in December 2012.	wiki_3529936_32	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.2730662226676941, 0.26200276613235474, 0.2457338273525238, 0.08151012659072876, 0.3617190718650818, 0.20731793344020844, 0.2515745759010315, 0.4547344744205475]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.4405563473701477, 0.35554754734039307]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana National Guard', 'National Guard']
Answer mention types: None
---
-0.23601415514945984	None	-0.561938464641571	After defeat as the incumbent seeking a third term, he served as the chairman of the Montana Republican Central Committee from 1958 to 1960.	<--After defeat as the incumbent seeking a third term, he served as the chairman of the Montana Republican Central Committee from 1958 to 1960.	wiki_3069105_23	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.23594257235527039, 0.1841021180152893, 0.2774119973182678, 0.0628664642572403, 0.10368634015321732, 0.20099960267543793, 0.2675624489784241, 0.15112736821174622]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.3974659740924835, 0.4223507344722748]
Mention choice: None
Turn choice: None
Answer mentions: ['Montana Republican Central Committee']
Answer mention types: None
---
-0.23925272226333616	None	-0.569649338722229	John Bohlinger is the son of Montana lieutenant governor John Bohlinger and Bette Cobetto Bohlinger.	<--John Bohlinger is the son of Montana lieutenant governor John Bohlinger and Bette Cobetto Bohlinger.	wiki_1059128_6	Q_6437_2
Mention to question weight: [0.31985366344451904, 0.3896062672138214, 0.3315429985523224, 0.16828258335590363, 0.28217813372612, 0.28015318512916565, 0.6238430142402649, 0.539696991443634]
Mention to answer weight: [0.19817371666431427, 0.25044652819633484, 0.21371620893478394, 0.10843253135681152, 0.19045907258987427, 0.1910838782787323, 0.3474864661693573, 0.2156519889831543]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.26178333163261414, 0.31355804204940796]
Mention choice: None
Turn choice: None
Answer mentions: ['John Bohlinger', 'John Bohlinger', 'John Bohlinger', 'Montana']
Answer mention types: None
---
-0.24592437028884886	None	-0.5855342149734497	While he was assured to gets votes from Italians on both sides of the party lines, John C. Montana suffered a big loss in the Republican primary as many Italians were held out of voting due to party affiliations - and many others favored the suburban attorney.	<--While he was assured to gets votes from Italians on both sides of the party lines, John C. Montana suffered a big loss in the Republican primary as many Italians were held out of voting due to party affiliations - and many others favored the suburban attorney.	wiki_5346313_134	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826578617096, 0.2821781635284424, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.21879301965236664, 0.23300310969352722, 0.1583556830883026, 0.061932336539030075, 0.07479171454906464, 0.13398995995521545, 0.23996233940124512, 0.13839605450630188]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.26383957266807556, 0.33398905396461487]
Mention choice: None
Turn choice: None
Answer mentions: ['John C. Montana', 'Italians', 'Italians', 'Republican']
Answer mention types: None
---
-0.24844939470291136	None	-0.5915461778640747	Peter F. Fiorella, the head of the Federation of Italian Societies, told many of the Italian organizations under his umbrella to vote for John Montana.	<--Peter F. Fiorella, the head of the Federation of Italian Societies, told many of the Italian organizations under his umbrella to vote for John Montana.	wiki_5346313_133	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.33154296875, 0.1682826280593872, 0.28217813372612, 0.28015318512916565, 0.6238430738449097, 0.539696991443634]
Mention to answer weight: [0.25145223736763, 0.20699696242809296, 0.21590396761894226, 0.16194893419742584, 0.16231435537338257, 0.14309343695640564, 0.2881849408149719, 0.18927527964115143]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.21493901312351227, 0.2754691541194916]
Mention choice: None
Turn choice: None
Answer mentions: ['John C. Montana', 'Peter F. Fiorella', 'Federation of Italian Societies', 'Italian']
Answer mention types: None
---
-0.2569669961929321	None	-0.6118261814117432	John Hugo Aronson (September 1, 1891 ̢   February 25, 1978) was an American politician from the Republican Party and the 14th Governor of the State of Montana.	<--John Hugo Aronson (September 1, 1891 ̢   February 25, 1978) was an American politician from the Republican Party and the 14th Governor of the State of Montana.	wiki_3094297_0	Q_6437_2
Mention to question weight: [0.3198537230491638, 0.38960620760917664, 0.3315429985523224, 0.1682826429605484, 0.2821780741214752, 0.28015315532684326, 0.6238430738449097, 0.5396970510482788]
Mention to answer weight: [0.34050583839416504, 0.3145078420639038, 0.2460583597421646, 0.08666219562292099, 0.23332816362380981, 0.18447688221931458, 0.30155080556869507, 0.20846155285835266]
Turn to question weight: [0.3483247756958008, 0.3198463022708893]
Turn to answer weight: [0.2826789617538452, 0.36682844161987305]
Mention choice: None
Turn choice: None
Answer mentions: ['J. Hugo Aronson', 'American', 'State of Montana', 'Republican Party']
Answer mention types: None
---
-0.26568336725234987	None	-0.6325794458389282	Sanders played a prominent role in Montana history and eventually became the first U.S. Senator from Montana when the territory gained statehood in 1889.	<--Sanders played a prominent role in Montana history and eventually became the first U.S. Senator from Montana when the territory gained statehood in 1889.	wiki_224156_58	Q_6437_2
